encounter_id,gold_word,whisper_word,confidence,error_type,is_error,tier
D2N001,hi,And,0.2524050176143646,substitution,1,1.0
D2N001,martha,"Martha,",0.9860159754753113,correct,0,1.0
D2N001,how,how,0.9784384965896606,correct,0,1.0
D2N001,are,are,0.9942269325256348,correct,0,1.0
D2N001,you,you?,0.9921302199363708,correct,0,1.0
D2N001,i'm,And,0.21682758629322052,substitution,1,1.0
D2N001,doing,doing,0.43118706345558167,correct,0,1.0
D2N001,okay,okay.,0.7240460515022278,correct,0,1.0
D2N001,how,How,0.8128293752670288,correct,0,1.0
D2N001,are,are,0.9891495108604431,correct,0,1.0
D2N001,you,you,0.995961606502533,correct,0,1.0
D2N001,i'm,,,deletion,1,1.0
D2N001,doing,doing,0.35897430777549744,correct,0,1.0
D2N001,okay,okay?,0.8030763864517212,correct,0,1.0
D2N001,so,So,0.9384596943855286,correct,0,1.0
D2N001,i,by,0.19285303354263306,substitution,1,1.0
D2N001,know,no,0.3154819905757904,substitution,1,1.0
D2N001,the,the,0.4132465720176697,correct,0,1.0
D2N001,nurse,nurse,0.9524468779563904,correct,0,1.0
D2N001,told,told,0.9791166186332703,correct,0,1.0
D2N001,you,you,0.9974616765975952,correct,0,1.0
D2N001,about,about,0.9852897524833679,correct,0,1.0
D2N001,dax,Dax.,0.6122543960809708,correct,0,1.0
D2N001,i'd,I'd,0.970104455947876,correct,0,1.0
D2N001,like,like,0.9978671073913574,correct,0,1.0
D2N001,to,to,0.9971430897712708,correct,0,1.0
D2N001,tell,tell,0.9988441467285156,correct,0,1.0
D2N001,dax,Dax,0.9831334054470062,correct,0,1.0
D2N001,a,a,0.9917455315589905,correct,0,1.0
D2N001,little,little,0.9960454106330872,correct,0,1.0
D2N001,bit,bit,0.9586707949638367,correct,0,1.0
D2N001,about,about,0.9888428449630737,correct,0,1.0
D2N001,you,you,0.9844897985458374,correct,0,1.0
D2N001,okay,okay.,0.6378185153007507,correct,0,1.0
D2N001,okay,Okay?,0.7760222554206848,correct,0,1.0
D2N001,martha,Martha,0.8939997553825378,correct,0,1.0
D2N001,is,is,0.9880505204200745,correct,0,1.0
D2N001,a,a,0.9655994176864624,correct,0,1.0
D2N001,,fever,0.2324962019920349,insertion,1,
D2N001,50-year-old,-old,0.6526010930538177,substitution,1,1.0
D2N001,female,female,0.9168190360069275,correct,0,1.0
D2N001,with,with,0.9700720906257629,correct,0,1.0
D2N001,a,a,0.9837703704833984,correct,0,1.0
D2N001,past,past,0.9464845061302185,correct,0,1.0
D2N001,medical,medical,0.7733737826347351,correct,0,1.0
D2N001,history,history,0.8416152596473694,correct,0,1.0
D2N001,significant,significant,0.3775092661380768,correct,0,1.0
D2N001,for,for,0.9810339212417603,correct,0,1.0
